source_id,source_name,priority_tier,allowability_class,raw_allowability_value,on_watchlist
NPS-HPF-GRANTS-EMAIL-BULLETI-12A869,NPS HPF grants email bulletin,Tier 2,unknown,n/a,False
NPS-NAGPRA-GRANTS-2C9DC5,NPS NAGPRA Grants,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
NPS-THPO-FORMULA-GRANTS-DEF9EE,NPS THPO Formula Grants,Tier 2,unclear,unclear,False
USDA-NRCS,NRCS Tribal Assistance,Tier 2,sometimes_allowable,Sometimes allowable depending on program,False
NSF-AISL-ARCHIVED-81FB4A,NSF AISL (archived),Tier 2,likely_allowable,likely-allowable,True
NSF-UPCOMING-DUE-DATES-RSS-59C55A,NSF Upcoming Due Dates RSS,Tier 2,likely_allowable,likely-allowable,True
NASA-NSPIRES,NSPIRES,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
OVW-TRIBAL-JURISDICTION-PROG-1BEE70,OVW Tribal Jurisdiction Program (STCJ),Tier 2,unclear,unclear,False
RECLAMATION-NATIVE-AMERICAN-530214,Reclamation Native American Affairs hub,Tier 2,likely_allowable,likely-allowable,True
RECLAMATION-RSS-FEED-INDEX-3E37EE,Reclamation RSS feed index,Tier 2,unknown,n/a,False
REGULATIONS-GOV-API-V4-EC2949,Regulations.gov API v4,Tier 2,unknown,UNKNOWN,False
SAFE-STREETS-AND-ROADS-FOR-A-A7DBA0,Safe Streets and Roads for All (SS4A),Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
SAMHSA-NATIVE-CONNECTIONS-2DA23D,SAMHSA Native Connections,Tier 2,unclear,unclear,False
SAMHSA-TRIBAL-AFFAIRS-HUB-17336B,SAMHSA Tribal Affairs hub,Tier 2,unclear,unclear,False
SAMHSA-TRIBAL-OPIOID-RESPONS-D7833A,SAMHSA Tribal Opioid Response Grants,Tier 2,unclear,unclear,False
SBA-8-A-BUSINESS-DEVELOPMENT-4A0E16,SBA 8(a) Business Development Program,Tier 2,unknown,n/a,False
SBA-GRANTS-AGENCY-GRANTS-PAG-26DE95,SBA Grants (agency grants page),Tier 2,unclear,unclear,False
SBA-OFFICE-OF-NATIVE-AMERICA-42DCEB,SBA Office of Native American Affairs (ONAA),Tier 2,unknown,unlikely-allowable,False
SBA-PRIME-PROGRAM-FOR-INVEST-1FD46C,SBA PRIME (Program for Investors in Microentrepreneurs),Tier 2,unclear,unclear,False
STRENGTHENING-AMERICAN-INDIA-348DE5,Strengthening American Indian Tribally Controlled Colleges and Universities (Title III-A),Tier 2,unclear,unclear,False
DOI-NPS-THG,Tribal Heritage Grants,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOT-FTA-TRIBAL,Tribal Transit Program,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOI-FWS-TWG,Tribal Wildlife Grants,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
TTP-BRIDGE-PROGRAM-385C3B,TTP Bridge Program,Tier 2,unknown,UNKNOWN,False
FED-USA,USAspending,Tier 2,unlikely_allowable,Not applicable,False
USASPENDING-API-V2-3C97C3,USAspending API v2,Tier 2,unknown,n/a,False
USDA-FNA-FUNDING-GRANTS-INDE-AEC1F6,USDA FNA Funding / Grants Index,Tier 2,unclear,unclear,False
USDA-NIFA-FEDERALLY-RECOGNIZ-E11F8B,USDA NIFA Federally-Recognized Tribes Extension Program (FRTEP),Tier 2,unclear,unclear,False
USDA-NIFA-NEW-BEGINNING-FOR-A30EDF,USDA NIFA New Beginning for Tribal Students (NBTS),Tier 2,likely_allowable,likely-allowable,True
USDA-NIFA-TRIBAL-COLLEGES-ED-8A43AF,USDA NIFA Tribal Colleges Education Equity Grants (TCEG),Tier 2,likely_allowable,likely-allowable,True
USDA-NIFA-TRIBAL-COLLEGES-EX-21FB2B,USDA NIFA Tribal Colleges Extension Program (TCEP-CA and TCEP-SE),Tier 2,unclear,unclear,False
USDA-OFFICE-OF-TRIBAL-RELATI-CECF64,USDA Office of Tribal Relations,Tier 2,unclear,unclear,False
USDA-RD-DISTANCE-LEARNING-TE-93354E,USDA RD Distance Learning & Telemedicine (DLT),Tier 2,likely_allowable,likely-allowable (telecom/equipment purpose),True
USDA-RD-GRANTS-FOR-RURAL-AND-C4576C,USDA RD Grants for Rural and Native Alaskan Villages,Tier 2,unclear,unclear,False
USDA-RD-NATIVE-CDFI-RELENDIN-13D91B,USDA RD Native CDFI Relending Demonstration Program,Tier 2,unclear,unclear,False
USDA-RD-RECONNECT-PROGRAM-4E55AA,USDA RD ReConnect Program,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
USDA-RD-RURAL-BUSINESS-DEVEL-B448DB,USDA RD Rural Business Development Grants (RBDG),Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
USDA-RD-RURAL-COMMUNITY-DEVE-3C5301,USDA RD Rural Community Development Initiative (RCDI),Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
USDA-RD-SITE-WIDE-RSS-FEED-17C90C,USDA RD Site-wide RSS Feed,Tier 2,unclear,unclear,False
USDA-RD-SUBSTANTIALLY-UNDERS-8A06DB,USDA RD Substantially Underserved Trust Area (SUTA),Tier 2,unclear,unclear,False
USDA-RD-TRIBAL-COLLEGE-INITI-3AFA02,USDA RD Tribal College Initiative Grants,Tier 2,unclear,unclear,False
USDA-RD-WATER-WASTE-LOANS-GR-233E8E,USDA RD Water & Waste Loans/Grants - Tribal Lands,Tier 2,unclear,unclear,False
USDA-RURAL-DEVELOPMENT-PROGR-B1D80F,USDA Rural Development programs,Tier 2,unknown,UNKNOWN,False
AMERICAN-INDIAN-COLLEGE-FUND-06CAB1,American Indian College Fund,Tier 2,unknown,unlikely-allowable,False
BUSH-FOUNDATION-BUSH-PRIZE-39D52B,Bush Foundation Bush Prize,Tier 2,likely_allowable,likely-allowable - funds are explicitly flexible,True
BUSH-FOUNDATION-GOOD-RELATIV-613BAC,Bush Foundation Good Relatives Collaborative Grants,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
CHEROKEE-PRESERVATION-FOUNDA-BAD75E,Cherokee Preservation Foundation,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
NATIVE-AMERICANS-IN-PHILANTH-B617AD,Native Americans in Philanthropy Indigenous Tomorrows Fund,Tier 2,unclear,unclear,False
NDN-COLLECTIVE-GRANT-OPPORTU-495CC7,NDN Collective Grant Opportunities,Tier 2,unknown,unlikely-allowable - artist and organizer directed,False
OWEESTA-CORPORATION-16328B,Oweesta Corporation,Tier 2,unclear,"unclear - TA is delivered as services, not cash for software",False
POTLATCH-FUND-48BDCA,Potlatch Fund,Tier 2,likely_allowable,"likely-allowable via unrestricted general operating support, but excludes research, publications, conferences and classes",True
SC-ATTORNEY-GENERAL-CRIME-VI-6C989A,SC Attorney General Crime Victim Services Division,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
SC-BEHAVIORAL-HEALTH-AND-DEV-B2AD83,SC Behavioral Health and Developmental Disabilities grants,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
SC-BROADBAND-GRANT-NOTIFICAT-F56BC2,SC Broadband Grant Notifications list,Tier 2,unknown,n/a,False
SC-CDBG-CONSOLIDATED-PLAN-AN-0F6E6C,SC CDBG Consolidated Plan and Program Description,Tier 2,unknown,UNKNOWN,False
SC-CDBG-ELIGIBILITY-098BA5,SC CDBG Eligibility,Tier 2,unknown,planning is eligible; software not addressed,False
SC-CDBG-IMPLEMENTATION-MANUA-09173F,SC CDBG Implementation Manual and Policy Memos,Tier 2,unknown,UNKNOWN,False
SC-COMMERCE-COMMUNITY-AND-RU-41AAA4,SC Commerce community and rural development,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
SC-COMMERCE,SC Commerce Grants and Incentives,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SC-DEPARTMENT-OF-AGRICULTURE-FF7852,SC Department of Agriculture grants,Tier 2,unknown,UNKNOWN,False
SC-DEW,SC Department of Employment and Workforce,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
SC-DEPARTMENT-OF-EMPLOYMENT-FD4C95,SC Department of Employment and Workforce WIOA,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
SC-DEPARTMENT-OF-NATURAL-RES-7A9BC2,SC Department of Natural Resources Flood Mitigation Assistance,Tier 2,unknown,UNKNOWN,False
SC-DEPARTMENT-OF-PUBLIC-HEAL-8DADC1,SC Department of Public Health grants and subawards,Tier 2,unknown,UNKNOWN,False
SC-DEPARTMENT-OF-PUBLIC-SAFE-D82212,SC Department of Public Safety Office of Highway Safety and Justice Programs,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
SC-DEPARTMENT-ON-AGING-GRANT-E70E14,SC Department on Aging grants,Tier 2,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
SC-DES-WATER,SC DES Grants and Loans,Tier 2,sometimes_allowable,Sometimes allowable depending on program,False
SC-DES-SECTION-319-NONPOINT-1174F0,SC DES Section 319 Nonpoint Source and SRF,Tier 2,unknown,UNKNOWN,False
SC-HOUSING-DEVELOPMENT-PROGR-46B25C,SC Housing Development programs,Tier 2,unknown,UNKNOWN,False
SC-HUMANITIES-GRANTS-37C3E7,SC Humanities grants,Tier 2,unknown,unlikely-allowable,False
SC-OPIOID-RECOVERY-FUND-BOAR-245B6F,SC Opioid Recovery Fund Board,Tier 2,unknown,UNKNOWN,False
SCDAH-FEDERAL-AND-STATE-RECO-DE7401,SCDAH Federal and State Recognized Native American Indian Tribes,Tier 2,unknown,n/a,False
SCDES-DAM-REPAIR-ASSISTANCE-AC197D,SCDES Dam Repair Assistance Grant,Tier 2,unknown,no,False
SC-ENERGY,South Carolina Energy Office,Tier 2,sometimes_allowable,Sometimes allowable depending on program,False
ACF-GRANTS-AND-FUNDING-HUB-FF81A5,ACF Grants and Funding hub,Tier 3,unclear,unclear,False
ACL-SERVICES-FOR-NATIVE-AMER-CABB28,ACL Services for Native Americans (OAA Title VI),Tier 3,unclear,unclear,False
ASSISTANCE-TO-FIREFIGHTERS-G-5EC54E,Assistance to Firefighters Grants (AFG),Tier 3,unclear,unclear,False
BIA-BRANCH-OF-INDIGENOUS-CON-61EA90,BIA Branch of Indigenous Connectivity and Technology,Tier 3,unclear,unclear,False
BIA-DIVISION-OF-SELF-DETERMI-0C1E37,BIA Division of Self-Determination,Tier 3,unclear,unclear,False
BIA-JUSTICE-SERVICES-1F6956,BIA Justice Services,Tier 3,unclear,unclear,False
BIA-SOCIAL-SERVICES-AND-ICWA-367756,BIA Social Services and ICWA,Tier 3,unclear,unclear,False
BIA-VOLUNTARY-COMMUNITY-DRIV-9790D7,BIA Voluntary Community-Driven Relocation Program,Tier 3,unclear,unclear,False
BIA-WATER-AND-POWER-736444,BIA Water and Power,Tier 3,unclear,unclear,False
BIE-GREAT-AMERICAN-OUTDOORS-2FFD1F,BIE Great American Outdoors Act program,Tier 3,unknown,unlikely-allowable,False
BIE-JOHNSON-O-MALLEY-PROGRAM-140089,BIE Johnson O'Malley Program,Tier 3,unclear,unclear,False
BIE-NEWSROOM-3E4FE6,BIE newsroom,Tier 3,unknown,n/a,False
DOT-GRANTS-INDEX-368328,DOT Grants index,Tier 3,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
DOT-NAVIGATOR-D0D06B,DOT Navigator,Tier 3,unknown,n/a,False
EPA-CLIMATE-POLLUTION-REDUCT-A1D745,EPA Climate Pollution Reduction Grants (CPRG),Tier 3,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
EPA-GRANTS-BC17D1,EPA Grants,Tier 3,unknown,UNKNOWN,False
EPA-TRIBAL-LANDS-OLEM-TRIBAL-FC0F48,EPA Tribal Lands (OLEM) / Tribal Waste Management,Tier 3,unknown,UNKNOWN,False
EPA-TRIBAL-PARTNERSHIP-GROUP-A95E9D,EPA Tribal Partnership Groups / RTOC / NTOC,Tier 3,unknown,n/a,False
FEMA-GO-GRANTS-OUTCOMES-PORT-3B6FEC,FEMA GO (Grants Outcomes) portal,Tier 3,unknown,n/a,False
HUD-GEMS-GRANTS-EVALUATION-A-F70DCC,HUD GEMS (Grants Evaluation and Management System),Tier 3,likely_allowable,likely-allowable,True
NAGPRA-GRANT-AWARDS-DATABASE-349011,NAGPRA grant awards database,Tier 3,unknown,n/a,False
NASA-OSTEM-FUNDING-FORECAST-869C9C,NASA OSTEM Funding Forecast,Tier 3,unclear,unclear,False
NEA-GRANTS-FOR-ARTS-PROJECTS-260391,NEA Grants for Arts Projects,Tier 3,unclear,unclear,False
NEA-NATIVE-ARTS-AND-CULTURE-51D1C6,NEA Native Arts and Culture Hub,Tier 3,unknown,n/a,False
NEH-GRANTS-3B51BD,NEH Grants,Tier 3,unclear,unclear,False
NIH-REPORTER-API-V2-8C39C5,NIH RePORTER API v2,Tier 3,unknown,UNKNOWN,False
NOAA-CLIMATE-PROGRAM-OFFICE-28DB4F,NOAA Climate Program Office,Tier 3,unclear,unclear,False
NSF-AWARD-API-66155B,NSF Award API,Tier 3,unknown,UNKNOWN,False
NSF-AWARDS-API-BB69CE,NSF Awards API,Tier 3,unknown,n/a,False
NTIA-FUNDING-PROGRAMS-INDEX-2423F5,NTIA Funding Programs Index,Tier 3,unclear,unclear,False
NTIA-TRIBAL-BROADBAND-CONNEC-9BAAC8,NTIA Tribal Broadband Connectivity Program (TBCP),Tier 3,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
PERKINS-CTE-TRIBAL-BIE-SET-A-6C68A1,Perkins CTE tribal / BIE set-aside,Tier 3,unclear,unclear,False
REGISTERED-APPRENTICESHIP-ET-2A3B6E,Registered Apprenticeship (ETA),Tier 3,unclear,unclear,False
SAM-GOV-ENTITY-MANAGEMENT-AP-0BFE5E,SAM.gov Entity Management API,Tier 3,unknown,UNKNOWN,False
SAM-GOV-FEDERAL-HIERARCHY-PU-102D41,SAM.gov Federal Hierarchy Public API,Tier 3,unknown,UNKNOWN,False
STATE-WIOA-TITLE-I-PASS-THRO-AFEA36,State WIOA Title I pass-through (Adult / Youth / Dislocated Worker),Tier 3,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
TRIBAL-HIGH-PRIORITY-PROJECT-E774EB,Tribal High Priority Projects (TTP HPP),Tier 3,unknown,UNKNOWN,False
USDA-RD-UNNUMBERED-LETTERS-D-C7E2ED,USDA RD Unnumbered Letters / Directives,Tier 3,unclear,unclear,False
PRIV-FNT,First Nations Development Institute Grants,Tier 3,sometimes_allowable,Sometimes allowable depending on call,False
INDIAN-LAND-TENURE-FOUNDATIO-A153F0,Indian Land Tenure Foundation,Tier 3,unknown,unlikely-allowable,False
NATIONAL-CONGRESS-OF-AMERICA-E4CCE8,National Congress of American Indians,Tier 3,unknown,n/a,False
NATIVE-ARTS-AND-CULTURES-FOU-499891,Native Arts and Cultures Foundation,Tier 3,unknown,unlikely-allowable,False
NATIVE-CDFI-NETWORK-47714C,Native CDFI Network,Tier 3,unknown,n/a,False
PRIV-NDN,NDN Collective grantmaking,Tier 3,unclear,Unclear,False
ADVANCE-SC-GRANTS-FOR-STATE-06645F,Advance SC Grants for State Tribes,Tier 3,unknown,not stated,False
CENTRAL-CAROLINA-COMMUNITY-F-9B055A,Central Carolina Community Foundation,Tier 3,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
COASTAL-COMMUNITY-FOUNDATION-A3C252,Coastal Community Foundation of South Carolina,Tier 3,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
SC-ARTS-COMMISSION-GRANTS-6AF86B,SC Arts Commission grants,Tier 3,unknown,unlikely-allowable,False
SC-BUSINESS-OPPORTUNITIES-SC-51904C,SC Business Opportunities (SCBO),Tier 3,unknown,IT solicitations are in scope,False
SC-COMMISSION-ON-HIGHER-EDUC-FA95E9,SC Commission on Higher Education grants,Tier 3,unknown,UNKNOWN,False
SC-CONSERVATION-BANK-41950D,SC Conservation Bank,Tier 3,unknown,unlikely-allowable,False
SC-DEPARTMENT-OF-INSURANCE-S-82AE60,SC Department of Insurance SC Safe Home,Tier 3,unknown,no,False
SC-DEPT-OF-ADMINISTRATION-MA-69CAE3,SC Dept of Administration Managing Grants,Tier 3,unknown,n/a,False
SC-FIRST-STEPS-GRANTS-533156,SC First Steps grants,Tier 3,unknown,UNKNOWN,False
SC-FORESTRY-COMMISSION-GRANT-300D89,SC Forestry Commission grants,Tier 3,unknown,UNKNOWN,False
SC-OFFICE-OF-THE-STATE-AUDIT-EC9455,SC Office of the State Auditor,Tier 3,unknown,n/a,False
SC-RURAL-INFRASTRUCTURE-AUTH-485AB5,SC Rural Infrastructure Authority,Tier 3,unknown,UNKNOWN,False
SC-STATE-CLEARINGHOUSE-INTER-EBF26A,SC State Clearinghouse Intergovernmental Review,Tier 3,unknown,n/a,False
APEX-ACCELERATORS-EC80CE,APEX Accelerators,Tier 4,unclear,unclear,False
BUILDING-RESILIENT-INFRASTRU-5525F1,Building Resilient Infrastructure and Communities (BRIC),Tier 4,unclear,unclear,False
CMS-TRIBAL-AFFAIRS-8AC2C9,CMS tribal affairs,Tier 4,unclear,unclear,False
COMMERCE-MBDA-NOAA-NATIVE-PR-4EDDDF,Commerce MBDA + NOAA Native programs,Tier 4,unclear,unclear,False
DOE-GRID-DEPLOYMENT-OFFICE-B45579,DOE Grid Deployment Office,Tier 4,unknown,UNKNOWN,False
DOI-BUREAU-OF-TRUST-FUNDS-AD-BBF582,DOI Bureau of Trust Funds Administration,Tier 4,unknown,unlikely-allowable,False
DOJ-TRIBAL-FUNDING-DIRECTORY-BE8B52,DOJ Tribal Funding Directory,Tier 4,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
DOJ-TRIBAL-JUSTICE-AND-SAFET-4F1E15,DOJ Tribal Justice and Safety,Tier 4,unclear,unclear,False
DOT-RESOURCES-FOR-TRIBES-AND-B17823,DOT Resources for Tribes and Tribal Governments,Tier 4,unknown,n/a,False
ELECTRONIC-TRIBAL-TRANSPORTA-987047,Electronic Tribal Transportation Improvement Program (e-TTIP),Tier 4,unknown,n/a,False
EPA-ENVIRONMENTAL-JUSTICE-GR-0380CA,EPA Environmental Justice grants,Tier 4,unclear,unclear,False
EPA-TRIBAL-AIR-ANNOUNCEMENTS-979F65,EPA Tribal Air Announcements/Funding page,Tier 4,unclear,unclear,False
FEMA-GRANTS-ROOT-8EBB51,FEMA Grants (root),Tier 4,unclear,unclear,False
FLOOD-MITIGATION-ASSISTANCE-AC5C7F,Flood Mitigation Assistance (FMA),Tier 4,unclear,unclear,False
GRANTS-GOV-SYSTEM-TO-SYSTEM-AB3A7C,Grants.gov System-to-System (SOAP),Tier 4,unknown,UNKNOWN,False
HHS-ANA-PROGRAMS-A641B0,HHS ANA Programs,Tier 4,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
HUD-DEAD-LEGACY-PATHS-NEGATI-F77A25,HUD dead legacy paths (negative control),Tier 4,unclear,unclear,False
HUD-ONAP-CODETALK-660255,HUD ONAP / Codetalk,Tier 4,unknown,UNKNOWN,False
IHS-HEALTH-IT-MODERNIZATION-35151C,IHS Health IT Modernization Program,Tier 4,unknown,unlikely-allowable,False
NASA-MUREP-1AA690,NASA MUREP,Tier 4,unclear,unclear,False
NASA-NSPIRES-4CE005,NASA NSPIRES,Tier 4,unclear,unclear,False
NSF-EPSCOR-581817,NSF EPSCoR,Tier 4,likely_allowable,likely-allowable,True
NSF-FUNDING-OPPORTUNITIES-PA-998D8E,NSF Funding Opportunities page,Tier 4,unknown,UNKNOWN,False
NTIA-BEAD-PROGRAM-ED271A,NTIA BEAD Program,Tier 4,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
NTIA-DIGITAL-EQUITY-ACT-NATI-8F3DB2,NTIA Digital Equity Act - Native Entity Capacity & Planning,Tier 4,unclear,unclear,False
OJP-CURRENT-FUNDING-OPPORTUN-6978DC,OJP Current Funding Opportunities,Tier 4,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
SAM-GOV-DATA-SERVICES-PORTAL-2A4BE2,SAM.gov Data Services portal,Tier 4,unknown,UNKNOWN,False
SBA-7-J-MANAGEMENT-AND-TECHN-A084FA,SBA 7(j) Management and Technical Assistance,Tier 4,unclear,unclear,False
STATE-AND-LOCAL-CYBERSECURIT-17C7B2,State and Local Cybersecurity Grant Program (SLCGP),Tier 4,unclear,unclear,False
TRIBAL-CYBERSECURITY-GRANT-P-0C67C6,Tribal Cybersecurity Grant Program,Tier 4,unclear,unclear,False
USDA-FNA-SUMMER-EBT-TRIBAL-A-B8B108,USDA FNA Summer EBT (tribal administration),Tier 4,unclear,unclear,False
USDA-NRCS-FSA-FOREST-SERVICE-A176C4,USDA NRCS / FSA / Forest Service tribal programs,Tier 4,unclear,unclear,False
USGS-CLIMATE-ADAPTATION-SCIE-7EAB44,USGS Climate Adaptation Science Centers,Tier 4,unclear,unclear,False
USGS-OFFICE-OF-TRIBAL-RELATI-36C6DC,USGS Office of Tribal Relations,Tier 4,unknown,n/a,False
USGS-TRIBAL-FUNDING-A2DBD3,USGS tribal funding,Tier 4,unclear,unclear,False
CANDID-APIS-AND-FOUNDATION-D-2A3F6E,Candid APIs and Foundation Directory,Tier 4,unknown,n/a,False
MARGARET-A-CARGILL-PHILANTHR-C88CAA,Margaret A. Cargill Philanthropies,Tier 4,unclear,unclear,False
NORTHWEST-AREA-FOUNDATION-C6FFBC,Northwest Area Foundation,Tier 4,unclear,unclear,False
SC-BROADBAND-OFFICE-BEAD-16E0C9,SC Broadband Office BEAD,Tier 4,unknown,infrastructure only,False
SC-BROADBAND-STATE-MANAGED-P-4973AD,SC Broadband State Managed Programs,Tier 4,unknown,infrastructure only,False
SCEMD-MAIN-SITE-HSGP-SHSP-EM-4F8683,SCEMD main site - HSGP/SHSP/EMPG absence,Tier 4,unknown,UNKNOWN,False
SC-SCORF,SCORF Grant Management System,Tier 4,sometimes_allowable,Sometimes allowable depending on program,False
GRANTS-GOV-RSS-FEEDS-514B05,Grants.gov RSS feeds,Tier 5,unknown,n/a,False
NIH-ERA-COMMONS-18D770,NIH eRA Commons,Tier 5,unknown,n/a,False
USGS-COOPERATIVE-RESEARCH-UN-0C1B71,USGS Cooperative Research Units,Tier 5,unknown,n/a,False
THIRD-PARTY-GRANT-AGGREGATOR-EA29BD,Third-party grant aggregators,Tier 5,unknown,UNKNOWN,False
