source_id,source_name,priority_tier,robots_or_terms_risk,terms_status,requires_login,monitoring_method,url,activation_blocked_reasons
USDA-NIFA-TRIBAL-COLLEGES-EX-21FB2B,USDA NIFA Tribal Colleges Extension Program (TCEP-CA and TCEP-SE),Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.nifa.usda.gov/grants/programs/tribal-colleges-extension-program-capacity-applications-tcep-ca,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-OFFICE-OF-TRIBAL-RELATI-CECF64,USDA Office of Tribal Relations,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.usda.gov/about-usda/general-information/staff-offices/office-tribal-relations,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-DISTANCE-LEARNING-TE-93354E,USDA RD Distance Learning & Telemedicine (DLT),Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.rd.usda.gov/programs-services/telecommunications-programs/distance-learning-telemedicine-grants,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-GRANTS-FOR-RURAL-AND-C4576C,USDA RD Grants for Rural and Native Alaskan Villages,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.rd.usda.gov/programs-services/water-environmental-programs/grants-rural-and-native-alaskan-villages,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-NATIVE-CDFI-RELENDIN-13D91B,USDA RD Native CDFI Relending Demonstration Program,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.rd.usda.gov/programs-services/single-family-housing-programs/native-community-development-financial-institution-relending-demonstration-program,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-RECONNECT-PROGRAM-4E55AA,USDA RD ReConnect Program,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.usda.gov/reconnect,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-RURAL-BUSINESS-DEVEL-B448DB,USDA RD Rural Business Development Grants (RBDG),Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.rd.usda.gov/programs-services/business-programs/rural-business-development-grants,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-RURAL-COMMUNITY-DEVE-3C5301,USDA RD Rural Community Development Initiative (RCDI),Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.rd.usda.gov/programs-services/community-facilities/rural-community-development-initiative-grants,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-SITE-WIDE-RSS-FEED-17C90C,USDA RD Site-wide RSS Feed,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,RSS/feed monitor,https://www.rd.usda.gov/rss.xml,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-SUBSTANTIALLY-UNDERS-8A06DB,USDA RD Substantially Underserved Trust Area (SUTA),Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.rd.usda.gov/about-rd/initiatives/substantially-underserved-trust-area-suta,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-TRIBAL-COLLEGE-INITI-3AFA02,USDA RD Tribal College Initiative Grants,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.rd.usda.gov/programs-services/community-facilities/tribal-college-initiative-grants,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-WATER-WASTE-LOANS-GR-233E8E,USDA RD Water & Waste Loans/Grants - Tribal Lands,Tier 2,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.rd.usda.gov/programs-services/water-environmental-programs/water-and-waste-facility-loans-and-grants-alleviate-health-risks-tribal-lands,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
AMERICAN-INDIAN-COLLEGE-FUND-06CAB1,American Indian College Fund,Tier 2,OK,TERMS_REVIEW_REQUIRED,yes to apply (SM Apply at webportalapp.com/sp/login/aicf_scholarships),static HTML page monitor,https://collegefund.org/students/scholarships,requires_login:yes to apply (SM Apply at webportalapp.com/sp/login/aicf_sch;monitoring_not_started
POTLATCH-FUND-48BDCA,Potlatch Fund,Tier 2,OK,TERMS_REVIEW_REQUIRED,no for listings,static HTML page monitor,https://www.potlatchfund.org/grants,requires_login:no for listings;monitoring_not_started
SC-ATTORNEY-GENERAL-CRIME-VI-6C989A,SC Attorney General Crime Victim Services Division,Tier 2,OK,TERMS_REVIEW_REQUIRED,yes - Salesforce portal at scattorneygeneral.my.site.com,PDF/NOFO page monitor,https://www.scag.gov/inside-the-office/crime-victim-services-division/,requires_login:yes - Salesforce portal at scattorneygeneral.my.site.com;monitoring_not_started
SC-DEPARTMENT-OF-PUBLIC-SAFE-D82212,SC Department of Public Safety Office of Highway Safety and Justice Programs,Tier 2,OK,TERMS_REVIEW_REQUIRED,"yes - IntelliGrants at scdps.intelligrants.com (JS app, login-gated)",static HTML page monitor,https://scdps.sc.gov/ohsjp,"requires_login:yes - IntelliGrants at scdps.intelligrants.com (JS app, logi;monitoring_not_started"
SC-OPIOID-RECOVERY-FUND-BOAR-245B6F,SC Opioid Recovery Fund Board,Tier 2,OK,TERMS_REVIEW_REQUIRED,grant management system likely yes,static HTML page monitor,https://scorf.sc.gov/,requires_login:grant management system likely yes;monitoring_not_started
ASSISTANCE-TO-FIREFIGHTERS-G-5EC54E,Assistance to Firefighters Grants (AFG),Tier 3,OK,TERMS_REVIEW_REQUIRED,yes (FEMA GO),human review only,https://www.fema.gov/grants/preparedness/firefighters/assistance-grants,requires_login:yes (FEMA GO);monitoring_method:human_review_only;monitoring_not_started
FEMA-GO-GRANTS-OUTCOMES-PORT-3B6FEC,FEMA GO (Grants Outcomes) portal,Tier 3,OK,HUMAN_REVIEW_ONLY,yes,human review only,https://www.fema.gov/grants/guidance-tools/fema-go,requires_login:yes;monitoring_method:human_review_only;monitoring_not_started
HUD-GEMS-GRANTS-EVALUATION-A-F70DCC,HUD GEMS (Grants Evaluation and Management System),Tier 3,HUMAN_REVIEW_ONLY,HUMAN_REVIEW_ONLY,YES,human review only,https://www.hud.gov/helping-americans/public-indian-housing-gems,robots_or_terms_risk:HUMAN_REVIEW_ONLY;requires_login:YES;monitoring_method:human_review_only;monitoring_not_started
NAGPRA-GRANT-AWARDS-DATABASE-349011,NAGPRA grant awards database,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,search endpoint monitor,https://apps.cr.nps.gov/nagprapublic/home/grant,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NEA-GRANTS-FOR-ARTS-PROJECTS-260391,NEA Grants for Arts Projects,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no (portal login to apply),human review only,https://www.arts.gov/grants/grants-for-arts-projects,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:no (portal login to apply);monitoring_method:human_review_only;monitoring_not_started
NEA-NATIVE-ARTS-AND-CULTURE-51D1C6,NEA Native Arts and Culture Hub,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.arts.gov/impact/native-arts-and-culture,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NEH-GRANTS-3B51BD,NEH Grants,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,human review only,https://www.neh.gov/grants,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_method:human_review_only;monitoring_not_started
NIH-REPORTER-API-V2-8C39C5,NIH RePORTER API v2,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,API monitor,https://api.reporter.nih.gov/v2/projects/search,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NOAA-CLIMATE-PROGRAM-OFFICE-28DB4F,NOAA Climate Program Office,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://cpo.noaa.gov/funding-opportunities,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NSF-AWARD-API-66155B,NSF Award API,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,API monitor,https://api.nsf.gov/services/v1/awards.json,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NTIA-FUNDING-PROGRAMS-INDEX-2423F5,NTIA Funding Programs Index,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.ntia.gov/funding-programs,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NTIA-TRIBAL-BROADBAND-CONNEC-9BAAC8,NTIA Tribal Broadband Connectivity Program (TBCP),Tier 3,HUMAN_REVIEW_ONLY,HUMAN_REVIEW_ONLY,no,human review only,https://www.internetforall.gov/program/tribal-broadband-connectivity-program,robots_or_terms_risk:HUMAN_REVIEW_ONLY;monitoring_method:human_review_only;monitoring_not_started
PERKINS-CTE-TRIBAL-BIE-SET-A-6C68A1,Perkins CTE tribal / BIE set-aside,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,human review only,https://cte.ed.gov,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_method:human_review_only;monitoring_not_started
REGISTERED-APPRENTICESHIP-ET-2A3B6E,Registered Apprenticeship (ETA),Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,human review only,https://www.apprenticeship.gov,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_method:human_review_only;monitoring_not_started
SAM-GOV-ENTITY-MANAGEMENT-AP-0BFE5E,SAM.gov Entity Management API,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,UNKNOWN,API monitor,https://open.gsa.gov/api/entity-api/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
SAM-GOV-FEDERAL-HIERARCHY-PU-102D41,SAM.gov Federal Hierarchy Public API,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,UNKNOWN,API monitor,https://open.gsa.gov/api/fh-public-api/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
STATE-WIOA-TITLE-I-PASS-THRO-AFEA36,State WIOA Title I pass-through (Adult / Youth / Dislocated Worker),Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,varies,human review only,https://www.dol.gov/agencies/eta/wioa,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:varies;monitoring_method:human_review_only;monitoring_not_started
USDA-RD-UNNUMBERED-LETTERS-D-C7E2ED,USDA RD Unnumbered Letters / Directives,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.rd.usda.gov/resources/directives/unnumbered-letters,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
PRIV-FNT,First Nations Development Institute Grants,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,Varies,email bulletin/manual intake,https://www.firstnations.org/grantmaking/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:Varies;monitoring_not_started
NATIVE-CDFI-NETWORK-47714C,Native CDFI Network,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,yes for member areas,email bulletin/manual intake,https://nativecdfi.net/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:yes for member areas;monitoring_not_started
PRIV-NDN,NDN Collective grantmaking,Tier 3,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,Varies,email bulletin/manual intake,https://ndncollective.org/grantmaking/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:Varies;monitoring_not_started
CENTRAL-CAROLINA-COMMUNITY-F-9B055A,Central Carolina Community Foundation,Tier 3,OK,TERMS_REVIEW_REQUIRED,yes to apply,static HTML page monitor,https://www.yourfoundation.org/for-nonprofits/grant-opportunities/,requires_login:yes to apply;monitoring_not_started
COASTAL-COMMUNITY-FOUNDATION-A3C252,Coastal Community Foundation of South Carolina,Tier 3,OK,TERMS_REVIEW_REQUIRED,yes to apply; portal registration takes up to two business days,static HTML page monitor,https://coastalcommunityfoundation.org/competitive-grants/,requires_login:yes to apply; portal registration takes up to two business d;monitoring_not_started
SC-ARTS-COMMISSION-GRANTS-6AF86B,SC Arts Commission grants,Tier 3,OK,TERMS_REVIEW_REQUIRED,yes to apply - Foundant,static HTML page monitor,https://www.southcarolinaarts.com/all-grants/,requires_login:yes to apply - Foundant;monitoring_not_started
SC-CONSERVATION-BANK-41950D,SC Conservation Bank,Tier 3,OK,TERMS_REVIEW_REQUIRED,yes - applications at applications.sc.gov/ConservationBank,static HTML page monitor,https://www.sccbank.sc.gov/,requires_login:yes - applications at applications.sc.gov/ConservationBank;monitoring_not_started
SC-OFFICE-OF-THE-STATE-AUDIT-EC9455,SC Office of the State Auditor,Tier 3,OK,TERMS_REVIEW_REQUIRED,employee login only,PDF/NOFO page monitor,https://osa.sc.gov/,requires_login:employee login only;monitoring_not_started
CMS-TRIBAL-AFFAIRS-8AC2C9,CMS tribal affairs,Tier 4,HUMAN_REVIEW_ONLY,HUMAN_REVIEW_ONLY,UNKNOWN,human review only,https://www.cms.gov/about-cms/agency-information/aian,robots_or_terms_risk:HUMAN_REVIEW_ONLY;monitoring_method:human_review_only;monitoring_not_started
COMMERCE-MBDA-NOAA-NATIVE-PR-4EDDDF,Commerce MBDA + NOAA Native programs,Tier 4,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,UNKNOWN,human review only,UNKNOWN - not verified,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_method:human_review_only;monitoring_not_started
DOJ-TRIBAL-FUNDING-DIRECTORY-BE8B52,DOJ Tribal Funding Directory,Tier 4,OK,TERMS_REVIEW_REQUIRED,Single-page catalog of every DOJ tribal-eligible program with descriptions and links; built under E.O. 14053. Excellent seed list for the program registry; poor for deadline monitoring.,static HTML page monitor,https://www.ojp.gov/tribal-funding-directory,requires_login:Single-page catalog of every DOJ tribal-eligible program wit;monitoring_not_started
DOJ-TRIBAL-JUSTICE-AND-SAFET-4F1E15,DOJ Tribal Justice and Safety,Tier 4,OK,TERMS_REVIEW_REQUIRED,Carries Bureau of Justice Grants consolidation notice: COPS+OJP+OVW merging. Highest-value change signal in scope. article:modified_time meta field usable for change detection.,static HTML page monitor,https://www.justice.gov/tribal,requires_login:Carries Bureau of Justice Grants consolidation notice: COPS+;monitoring_not_started
ELECTRONIC-TRIBAL-TRANSPORTA-987047,Electronic Tribal Transportation Improvement Program (e-TTIP),Tier 4,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,Government system of record for tribal transportation programming — competitive/adjacent to NativeForge's problem space and worth studying. Note the URL as emitted contains a doubled path segment (/federal-lands/federal-lands/) — verify before storing. Not fetched.,human review only,https://highways.dot.gov/federal-lands/federal-lands/tribal/electronic-tribal-transportation-improvement-program-e-ttip,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:Government system of record for tribal transportation progra;monitoring_method:human_review_only;monitoring_not_started
EPA-ENVIRONMENTAL-JUSTICE-GR-0380CA,EPA Environmental Justice grants,Tier 4,HUMAN_REVIEW_ONLY,HUMAN_REVIEW_ONLY,no,human review only,https://www.epa.gov/environmentaljustice,robots_or_terms_risk:HUMAN_REVIEW_ONLY;monitoring_method:human_review_only;monitoring_not_started
GRANTS-GOV-SYSTEM-TO-SYSTEM-AB3A7C,Grants.gov System-to-System (SOAP),Tier 4,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,yes_certificates,human review only,https://www.grants.gov/system-to-system,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:yes_certificates;monitoring_method:human_review_only;monitoring_not_started
HHS-ANA-PROGRAMS-A641B0,HHS ANA Programs,Tier 4,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,human review only,https://www.acf.hhs.gov/ana/programs,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_method:human_review_only;monitoring_not_started
HUD-DEAD-LEGACY-PATHS-NEGATI-F77A25,HUD dead legacy paths (negative control),Tier 4,HUMAN_REVIEW_ONLY,HUMAN_REVIEW_ONLY,no,human review only,https://www.hud.gov/program_offices/public_indian_housing/ih,robots_or_terms_risk:HUMAN_REVIEW_ONLY;monitoring_method:human_review_only;monitoring_not_started
HUD-ONAP-CODETALK-660255,HUD ONAP / Codetalk,Tier 4,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,human review only,https://www.hud.gov/program_offices/public_indian_housing/ih,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_method:human_review_only;monitoring_not_started
NASA-MUREP-1AA690,NASA MUREP,Tier 4,OK,TERMS_REVIEW_REQUIRED,no (NSPIRES login to apply),static HTML page monitor,https://www.nasa.gov/learning-resources/minority-university-research-education-project/,requires_login:no (NSPIRES login to apply);monitoring_not_started
NASA-NSPIRES-4CE005,NASA NSPIRES,Tier 4,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no_to_view_yes_to_submit,human review only,https://nspires.nasaprs.com/external/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:no_to_view_yes_to_submit;monitoring_method:human_review_only;monitoring_not_started
NSF-EPSCOR-581817,NSF EPSCoR,Tier 4,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.nsf.gov/funding/initiatives/epscor,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NSF-FUNDING-OPPORTUNITIES-PA-998D8E,NSF Funding Opportunities page,Tier 4,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,human review only,https://www.nsf.gov/funding/opportunities,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_method:human_review_only;monitoring_not_started
NTIA-BEAD-PROGRAM-ED271A,NTIA BEAD Program,Tier 4,HUMAN_REVIEW_ONLY,HUMAN_REVIEW_ONLY,no,human review only,https://www.internetforall.gov/program/broadband-equity-access-and-deployment-bead-program,robots_or_terms_risk:HUMAN_REVIEW_ONLY;monitoring_method:human_review_only;monitoring_not_started
NTIA-DIGITAL-EQUITY-ACT-NATI-8F3DB2,NTIA Digital Equity Act - Native Entity Capacity & Planning,Tier 4,HUMAN_REVIEW_ONLY,HUMAN_REVIEW_ONLY,no,human review only,https://www.ntia.gov/funding-programs,robots_or_terms_risk:HUMAN_REVIEW_ONLY;monitoring_method:human_review_only;monitoring_not_started
OJP-CURRENT-FUNDING-OPPORTUN-6978DC,OJP Current Funding Opportunities,Tier 4,OK,TERMS_REVIEW_REQUIRED,"Server-rendered, NOT a JS app. No search/filter API endpoint found. Dual Grants.gov+JustGrants deadlines in HTML. NOFO PDFs at ojp.gov/funding/docs/<opp-id>.pdf. Past-opportunities sibling page exists.",static HTML page monitor,https://www.ojp.gov/funding/explore/current-funding-opportunities,"requires_login:Server-rendered, NOT a JS app. No search/filter API endpoint;monitoring_not_started"
SAM-GOV-DATA-SERVICES-PORTAL-2A4BE2,SAM.gov Data Services portal,Tier 4,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,human review only,https://sam.gov/data-services,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_method:human_review_only;monitoring_not_started
SBA-7-J-MANAGEMENT-AND-TECHN-A084FA,SBA 7(j) Management and Technical Assistance,Tier 4,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,human review only,https://www.sba.gov/federal-contracting/contracting-assistance-programs/7j-management-and-technical-assistance-program,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_method:human_review_only;monitoring_not_started
USDA-FNA-SUMMER-EBT-TRIBAL-A-B8B108,USDA FNA Summer EBT (tribal administration),Tier 4,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,UNKNOWN,human review only,UNKNOWN - not verified,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_method:human_review_only;monitoring_not_started
USDA-NRCS-FSA-FOREST-SERVICE-A176C4,USDA NRCS / FSA / Forest Service tribal programs,Tier 4,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,UNKNOWN,human review only,UNKNOWN - not verified,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_method:human_review_only;monitoring_not_started
CANDID-APIS-AND-FOUNDATION-D-2A3F6E,Candid APIs and Foundation Directory,Tier 4,HUMAN_REVIEW_ONLY,HUMAN_REVIEW_ONLY,yes - API key and paid contract,API monitor,https://candid.org/data/explore-apis/,robots_or_terms_risk:HUMAN_REVIEW_ONLY;requires_login:yes - API key and paid contract;monitoring_not_started
MARGARET-A-CARGILL-PHILANTHR-C88CAA,Margaret A. Cargill Philanthropies,Tier 4,OK,TERMS_REVIEW_REQUIRED,Fluxx for existing grantees only,human review only,https://www.macphilanthropies.org/,requires_login:Fluxx for existing grantees only;monitoring_method:human_review_only;monitoring_not_started
SC-BROADBAND-OFFICE-BEAD-16E0C9,SC Broadband Office BEAD,Tier 4,OK,TERMS_REVIEW_REQUIRED,ShareFile GIS access yes,PDF/NOFO page monitor,https://ors.sc.gov/broadband/office/investments/state/bead,requires_login:ShareFile GIS access yes;monitoring_not_started
SC-SCORF,SCORF Grant Management System,Tier 4,HUMAN_REVIEW_ONLY,HUMAN_REVIEW_ONLY,Yes,human review only,https://scorf.sc.gov/gms,robots_or_terms_risk:HUMAN_REVIEW_ONLY;requires_login:Yes;monitoring_method:human_review_only;monitoring_not_started
NIH-ERA-COMMONS-18D770,NIH eRA Commons,Tier 5,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,YES (institutional registration + 2FA),human review only,https://www.era.nih.gov/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:YES (institutional registration + 2FA);monitoring_method:human_review_only;monitoring_not_started
THIRD-PARTY-GRANT-AGGREGATOR-EA29BD,Third-party grant aggregators,Tier 5,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,usually,human review only,NA,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:usually;monitoring_method:human_review_only;monitoring_not_started
